217,Santa Fé  ,28,
218,El Real de Santa María (Cabecera),29,
219,Boca de Cupé,29,
220,Paya,29,
221,Pinogana,29,
222,Púcuro,29,
223,Yape,29,
224,Yaviza,29,
225,Metetí  ,29,
226,Comarca Kuna de Wargandí  ,29,
227,Chitré  (Cabecera),30,
228,La Arena,30,
229,Monagrillo,30,
230,Llano Bonito  ,30,
231,San Juan Bautista  ,30,
232,Las Minas  (Cabecera),31,
233,Chepo,31,
234,Chumical,31,
235,El Toro,31,
236,Leones,31,
237,Quebrada del Rosario,31,
238,Quebrada El Ciprián  ,31,
239,Los Pozos  (Cabecera),32,
240,Capurí,32,
241,El Calabacito,32,
242,El Cedro,32,
243,La Arena,32,
244,La Pitaloza,32,
245,Los Cerritos,32,
246,Los Cerros de Paja,32,
247,Las Llanas  ,32,
248,Ocú  (Cabecera),33,
249,Cerro Largo,33,
250,Los Llanos,33,
251,Llano Grande,33,
252,Peñas Chatas,33,
253,El Tijera  ,33,
254,Menchaca  ,33,
255,Parita  (Cabecera),34,
256,Cabuya,34,
257,Los Castillos,34,
258,Llano de la Cruz,34,
259,París,34,
260,Portobelillo,34,
261,Potuga,34,
262,Pesé  (Cabecera),35,
263,Las Cabras,35,
264,El Pájaro,35,
265,El Barrero,35,
266,El Pedregoso,35,
267,El Ciruelo,35,
268,Sabanagrande,35,
269,Rincón Hondo,35,
270,Santa María  (Cabecera),36,
271,Chupampa,36,
272,El Rincón,36,
273,El Limón  ,36,
274,Los Canelos  ,36,
275,Guararé  (Cabecera),37,
276,El Espinal,37,
277,El Macano,37,
278,Guararé Arriba,37,
279,La Enea,37,
280,La Pasera,37,
281,Las Trancas,37,
282,Llano Abajo,37,
283,El Hato  ,37,
284,Perales  ,37,
285,Las Tablas  (Cabecera),38,
286,Bajo Corral,38,
287,Bayano,38,
288,El Carate,38,
289,El Cocal,38,
290,El Manantial,38,
291,El Muñoz,38,
292,El Pedregoso    ,38,
293,La Laja,38,
294,La Miel,38,
295,La Palma,38,
296,La Tiza,38,
297,Las Palmitas,38,
298,Las Tablas Abajo,38,
299,Nuario,38,
300,Palmira,38,
301,Peña Blanca,38,
302,Río Hondo,38,
303,San José,38,
304,San Miguel,38,
305,Santo Domingo,38,
306,Sesteadero,38,
307,Valle Rico,38,
308,Vallerriquito,38,
309,La Villa de los Santos (Cabecera)  ,39,
310,El Guásimo,39,
311,La Colorada,39,
312,La Espigadilla,39,
313,Las Cruces,39,
314,Las Guabas,39,
315,Los Angeles,39,
316,Los Olivos,39,
317,Llano Largo,39,
318,Sabanagrande,39,
319,Santa Ana,39,
320,Tres Quebradas,39,
321,Agua Buena  ,39,
322,Villa Lourdes  ,39,
323,Macaracas  (Cabecera),40,
324,Bahía Honda,40,
325,Bajos de Güera,40,
326,Corozal,40,
327,Chupá,40,
328,El Cedro,40,
329,Espino Amarillo,40,
330,La Mesa,40,
331,Las Palmas,40,
332,Llano de Piedra,40,
333,Mogollón,40,
334,Pedasí  (Cabecera),41,
335,Los Asientos,41,
336,Mariabé,41,
337,Purio,41,
338,Oria Arriba  ,41,
339,Pocrí  (Cabecera),42,
340,El Cañafístulo,42,
341,Lajamina,42,
342,Paraíso,42,
343,Paritilla,42,
344,Tonosí  (Cabecera),43,
345,Altos de Güera,43,
346,Cañas,43,
347,El Bebedero,43,
348,El Cacao,43,
349,El Cortezo,43,
350,Flores,43,
351,Guánico,43,
352,Tronosa,43,
353,Cambutal  ,43,
354,Isla de Cañas  ,43,
355,Arraiján  (Cabecera),44,
356,Juan Demóstenes Arosemena,44,
357,Nuevo Emperador,44,
358,Santa Clara,44,
359,Veracruz,44,
360,Vista Alegre,44,
361,Burunga  ,44,
362,Cerro Silvestre  ,44,
363,San Miguel  (Cabecera),45,
364,La Ensenada,45,
365,La Esmeralda,45,
